contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
IBM240621C00060000,IBM,2024-06-21,60.00,call,123.10,110.58,108.70,37,112.45,45,0,0,2024-06-18,3.47280,0.99975,0.00002,-0.06284,0.00015,0.00493
IBM240621P00060000,IBM,2024-06-21,60.00,put,0.00,0.01,0.00,0,1.03,48,0,34,2024-06-18,3.75114,-0.00059,0.00004,-0.07312,0.00032,-0.00001
IBM240621C00065000,IBM,2024-06-21,65.00,call,80.00,105.53,103.65,37,107.40,36,0,0,2024-06-18,2.48326,1.00000,0.00000,-0.03463,0.00000,0.00534
IBM240621P00065000,IBM,2024-06-21,65.00,put,0.00,0.01,0.00,0,1.03,52,0,30,2024-06-18,3.47478,-0.00064,0.00004,-0.07277,0.00034,-0.00001
IBM240621C00070000,IBM,2024-06-21,70.00,call,52.80,100.58,98.70,37,102.45,49,0,0,2024-06-18,2.36562,1.00000,0.00000,-0.03729,0.00000,0.00575
IBM240621P00070000,IBM,2024-06-21,70.00,put,0.00,0.01,0.00,0,1.03,52,0,45,2024-06-18,3.21914,-0.00069,0.00005,-0.07240,0.00037,-0.00001
IBM240621C00075000,IBM,2024-06-21,75.00,call,108.10,95.00,93.90,37,96.10,37,0,0,2024-06-18,2.24799,1.00000,0.00000,-0.03996,0.00000,0.00616
IBM240621P00075000,IBM,2024-06-21,75.00,put,0.00,0.01,0.00,0,1.03,52,0,17,2024-06-18,2.98104,-0.00075,0.00006,-0.07196,0.00040,-0.00001
IBM240621C00080000,IBM,2024-06-21,80.00,call,54.08,90.55,88.75,37,92.35,45,0,0,2024-06-18,2.13035,1.00000,0.00000,-0.04262,0.00000,0.00657
IBM240621P00080000,IBM,2024-06-21,80.00,put,0.00,0.01,0.00,0,1.03,52,0,57,2024-06-18,2.75818,-0.00080,0.00006,-0.07148,0.00043,-0.00001
IBM240621C00085000,IBM,2024-06-21,85.00,call,60.65,85.85,84.15,36,87.55,41,0,0,2024-06-18,3.67508,0.98803,0.00055,-1.12165,0.00482,0.00679
IBM240621P00085000,IBM,2024-06-21,85.00,put,0.00,0.01,0.00,0,1.03,51,0,175,2024-06-18,2.54873,-0.00087,0.00008,-0.07098,0.00046,-0.00001
IBM240621C00090000,IBM,2024-06-21,90.00,call,93.10,80.55,78.70,37,82.40,41,0,0,2024-06-18,1.89509,1.00000,0.00000,-0.04795,0.00000,0.00739
IBM240621P00090000,IBM,2024-06-21,90.00,put,0.00,0.01,0.00,0,0.30,37,0,821,2024-06-18,2.35103,-0.00094,0.00009,-0.07046,0.00049,-0.00001
IBM240621C00095000,IBM,2024-06-21,95.00,call,88.10,75.70,73.85,37,77.55,41,0,0,2024-06-18,2.77830,0.99287,0.00046,-0.56728,0.00306,0.00770
IBM240621P00095000,IBM,2024-06-21,95.00,put,0.01,0.01,0.00,0,0.01,10,60,906,2024-06-18,2.16353,-0.00102,0.00010,-0.06985,0.00053,-0.00002
IBM240621C00100000,IBM,2024-06-21,100.00,call,67.18,70.67,68.80,37,72.55,41,0,2,2024-06-18,2.44614,0.99413,0.00044,-0.43611,0.00258,0.00813
IBM240621P00100000,IBM,2024-06-21,100.00,put,0.00,0.01,0.00,0,0.01,10,0,691,2024-06-18,1.98533,-0.00111,0.00012,-0.06922,0.00057,-0.00002
IBM240621C00105000,IBM,2024-06-21,105.00,call,65.00,65.70,63.95,37,67.45,36,0,0,2024-06-18,2.33151,0.99186,0.00062,-0.54322,0.00344,0.00850
IBM240621P00105000,IBM,2024-06-21,105.00,put,0.00,0.01,0.00,0,0.01,10,0,959,2024-06-18,1.81537,-0.00121,0.00014,-0.06855,0.00062,-0.00002
IBM240621C00110000,IBM,2024-06-21,110.00,call,64.65,60.65,58.80,37,62.50,41,0,0,2024-06-18,1.95378,0.99487,0.00049,-0.33001,0.00229,0.00896
IBM240621P00110000,IBM,2024-06-21,110.00,put,0.00,0.01,0.00,0,0.01,10,0,601,2024-06-18,1.65272,-0.00133,0.00017,-0.06780,0.00068,-0.00002
IBM240621C00115000,IBM,2024-06-21,115.00,call,55.00,55.67,53.80,36,57.55,41,0,0,2024-06-18,1.83762,0.99289,0.00070,-0.40223,0.00306,0.00934
IBM240621P00115000,IBM,2024-06-21,115.00,put,0.00,0.01,0.00,0,0.01,10,0,1178,2024-06-18,1.49663,-0.00146,0.00021,-0.06697,0.00074,-0.00002
IBM240621C00120000,IBM,2024-06-21,120.00,call,49.85,50.47,48.80,37,52.15,37,0,6,2024-06-18,1.18928,1.00000,0.00000,-0.06393,0.00000,0.00986
IBM240621P00120000,IBM,2024-06-21,120.00,put,0.00,0.01,0.00,0,0.01,5,0,1385,2024-06-18,1.34648,-0.00162,0.00025,-0.06606,0.00081,-0.00002
IBM240621C00125000,IBM,2024-06-21,125.00,call,49.10,45.42,43.65,38,47.20,41,0,25,2024-06-18,1.07165,1.00000,0.00000,-0.06660,0.00000,0.01027
IBM240621P00125000,IBM,2024-06-21,125.00,put,0.00,0.01,0.00,0,0.05,12,0,847,2024-06-18,1.20166,-0.00180,0.00031,-0.06507,0.00089,-0.00003
IBM240621C00130000,IBM,2024-06-21,130.00,call,43.61,40.60,38.65,37,42.55,45,0,2,2024-06-18,0.95401,1.00000,0.00000,-0.06926,0.00000,0.01068
IBM240621P00130000,IBM,2024-06-21,130.00,put,0.00,0.01,0.00,0,0.22,40,0,7758,2024-06-18,1.06157,-0.00203,0.00039,-0.06395,0.00099,-0.00003
IBM240621C00135000,IBM,2024-06-21,135.00,call,36.85,35.85,34.75,35,36.95,35,0,72,2024-06-18,1.39602,0.97217,0.00296,-0.90868,0.00988,0.01068
IBM240621P00135000,IBM,2024-06-21,135.00,put,0.05,0.01,0.00,0,0.07,1,9,2867,2024-06-18,0.92576,-0.00231,0.00050,-0.06271,0.00112,-0.00003
IBM240621C00140000,IBM,2024-06-21,140.00,call,27.48,30.68,28.85,39,32.50,51,0,22,2024-06-18,0.99359,0.98749,0.00211,-0.37598,0.00501,0.01132
IBM240621P00140000,IBM,2024-06-21,140.00,put,0.01,0.01,0.00,0,0.02,2,23,2012,2024-06-18,0.79359,-0.00267,0.00067,-0.06127,0.00127,-0.00004
IBM240621C00143000,IBM,2024-06-21,143.00,call,0.00,27.55,25.90,37,29.20,51,0,0,2024-06-18,0.64816,1.00000,0.00000,-0.07619,0.00000,0.01175
IBM240621P00143000,IBM,2024-06-21,143.00,put,0.01,0.64,0.01,13,1.27,38,5,0,2024-06-18,1.35196,-0.06651,0.00617,-1.63499,0.01996,-0.00098
IBM240621C00144000,IBM,2024-06-21,144.00,call,0.00,26.88,25.25,37,28.50,51,0,0,2024-06-18,1.08642,0.96178,0.00494,-0.92170,0.01284,0.01127
IBM240621P00144000,IBM,2024-06-21,144.00,put,0.01,0.48,0.01,13,0.95,42,30,200,2024-06-18,1.22605,-0.05684,0.00602,-1.31118,0.01765,-0.00084
IBM240621C00145000,IBM,2024-06-21,145.00,call,26.80,25.77,24.55,39,27.00,37,0,13,2024-06-18,0.95289,0.97301,0.00423,-0.63329,0.00964,0.01152
IBM240621P00145000,IBM,2024-06-21,145.00,put,0.00,0.05,0.01,8,0.09,1,0,3530,2024-06-18,0.80183,-0.01145,0.00242,-0.22516,0.00464,-0.00016
IBM240621C00146000,IBM,2024-06-21,146.00,call,0.00,24.52,22.90,37,26.15,37,0,0,2024-06-18,0.57758,1.00000,0.00000,-0.07778,0.00000,0.01199
IBM240621P00146000,IBM,2024-06-21,146.00,put,0.00,0.01,0.00,0,1.28,37,0,44,2024-06-18,0.63902,-0.00327,0.00100,-0.05915,0.00153,-0.00005
IBM240621C00147000,IBM,2024-06-21,147.00,call,0.00,23.60,21.70,37,25.50,37,0,0,2024-06-18,0.55406,1.00000,0.00000,-0.07832,0.00000,0.01208
IBM240621P00147000,IBM,2024-06-21,147.00,put,0.00,0.01,0.00,0,2.14,46,0,70,2024-06-18,0.61372,-0.00340,0.00108,-0.05881,0.00158,-0.00005
IBM240621C00148000,IBM,2024-06-21,148.00,call,0.00,22.55,20.70,37,24.40,41,0,0,2024-06-18,0.53053,1.00000,0.00000,-0.07885,0.00000,0.01216
IBM240621P00148000,IBM,2024-06-21,148.00,put,0.00,1.07,0.01,38,2.14,64,0,60,2024-06-18,1.31294,-0.10481,0.00895,-2.23253,0.02808,-0.00156
IBM240621C00149000,IBM,2024-06-21,149.00,call,0.00,21.62,19.90,37,23.35,37,0,0,2024-06-18,0.52317,0.99802,0.00078,-0.11015,0.00097,0.01221
IBM240621P00149000,IBM,2024-06-21,149.00,put,0.00,0.01,0.00,0,2.14,57,0,30,2024-06-18,0.56311,-0.00368,0.00126,-0.05789,0.00170,-0.00005
IBM240621C00150000,IBM,2024-06-21,150.00,call,20.30,20.88,19.70,37,22.05,45,7,34,2024-06-18,0.86585,0.95357,0.00726,-0.86722,0.01503,0.01165
IBM240621P00150000,IBM,2024-06-21,150.00,put,0.08,0.15,0.02,5,0.28,94,10,3261,2024-06-18,0.77759,-0.03125,0.00585,-0.51184,0.01088,-0.00045
IBM240621C00152500,IBM,2024-06-21,152.50,call,0.00,18.18,16.80,37,19.55,54,0,0,2024-06-18,0.60092,0.98163,0.00485,-0.33414,0.00696,0.01227
IBM240621P00152500,IBM,2024-06-21,152.50,put,0.00,0.01,0.00,0,0.38,84,0,194,2024-06-18,0.47546,-0.00431,0.00172,-0.05623,0.00196,-0.00006
IBM240621C00155000,IBM,2024-06-21,155.00,call,13.43,15.57,13.75,37,17.40,37,0,40,2024-06-18,0.36584,1.00000,0.00000,-0.08258,0.00000,0.01273
